borough,neighborhood,building.class.category,tax.class.at.present,block,lot,ease.ment,building.class.at.present,address,apart.ment.number,zip.code,residential.units,commercial.units,total.units,land.square.feet,gross.square.feet,year.built,tax.class.at.time.of.sale,building.class.at.time.of.sale,sale.price,sale.date,sale.price.n,gross.sqft,land.sqft
3,BATH BEACH               ,40  CONDOS - 2-10 UNIT RESIDENTIAL          ,1,6363,23.00,NA,A9,8641 16TH AVENUE                         ,            ,11214.0,1,0,1,"2,058","1,492",1930,1,A9,"$560,000 ",6/6/13,560000.00,1492.0,2058.0
3,BATH BEACH               ,41  CONDOS - 2-10 UNIT RESIDENTIAL          ,1,6366,69.00,NA,A1,8658 BAY 16TH   STREET                   ,            ,11214.0,1,0,1,"4,833","1,724",1930,1,A1,"$860,000 ",12/18/12,860000.00,1724.0,4833.0
3,BATH BEACH               ,42  CONDOS - 2-10 UNIT RESIDENTIAL          ,1,6371,21.00,NA,A9,73 BAY 20TH   STREET                     ,            ,11214.0,1,0,1,"2,417","2,132",1930,1,A9,"$508,000 ",8/24/12,508000.00,2132.0,2417.0
3,BATH BEACH               ,43  CONDOS - 2-10 UNIT RESIDENTIAL          ,1,6378,64.00,NA,A1,56 BAY 28TH   STREET                     ,            ,11214.0,1,0,1,"3,867","1,704",1899,1,A1,"$600,000 ",6/18/13,600000.00,1704.0,3867.0
3,BATH BEACH               ,45  CONDOS - 2-10 UNIT RESIDENTIAL          ,1,6380,69.00,NA,S1,8662 BAY PARKWAY                         ,            ,11214.0,1,1,2,"2,707","3,304",1960,1,S1,"$820,000 ",11/29/12,820000.00,3304.0,2707.0
3,BATH BEACH               ,46  CONDOS - 2-10 UNIT RESIDENTIAL          ,1,6395,20.00,NA,A5,135 BAY 10TH STREET                      ,            ,11228.0,1,0,1,"2,417","2,000",1935,1,A5,"$690,000 ",11/14/12,690000.00,2000.0,2417.0
3,BATH BEACH               ,47  CONDOS - 2-10 UNIT RESIDENTIAL          ,1,6405,49.00,NA,S1,1863 BATH AVENUE                         ,            ,11214.0,1,1,2,"1,172","1,800",1920,1,S1,"$550,000 ",6/3/13,550000.00,1800.0,1172.0
3,BATH BEACH               ,48  CONDOS - 2-10 UNIT RESIDENTIAL          ,1,6409,35.00,NA,A9,94 BAY 25TH   STREET                     ,            ,11214.0,1,0,1,"1,440","1,281",1915,1,A9,"$479,000 ",3/11/13,479000.00,1281.0,1440.0
3,BATH BEACH               ,49  CONDOS - 2-10 UNIT RESIDENTIAL          ,1,6412,16.00,NA,A1,8739 21ST   AVENUE                       ,            ,11214.0,1,0,1,"2,513","2,346",1935,1,A1,"$738,000 ",6/6/13,738000.00,2346.0,2513.0
3,BATH BEACH               ,51  CONDOS - 2-10 UNIT RESIDENTIAL          ,1,6426,35.00,NA,A9,183 BAY 8TH STREET                       ,            ,11228.0,1,0,1,"1,933","1,562",1920,1,A9,"$685,000 ",5/7/13,685000.00,1562.0,1933.0
3,BATH BEACH               ,53  CONDOS - 2-10 UNIT RESIDENTIAL          ,1,6431,11.00,NA,A9,1629 CROPSEY AVENUE                      ,            ,11214.0,1,0,1,"1,713","2,500",1930,1,A9,"$520,000 ",5/31/13,520000.00,2500.0,1713.0
3,BATH BEACH               ,56  CONDOS - 2-10 UNIT RESIDENTIAL          ,1,6460,40.00,NA,S2,8855 15TH AVE                            ,            ,11228.0,2,1,3,"7,747","5,107",1945,1,A2,"$1,707,200 ",7/25/13,1707200.00,5107.0,7747.0
3,BATH BEACH               ,57  CONDOS - 2-10 UNIT RESIDENTIAL          ,1,6461,143.00,NA,A5,1169 SHORE PARKWAY                       ,            ,11214.0,1,0,1,"2,511","1,392",1950,1,A5,"$525,000 ",1/3/13,525000.00,1392.0,2511.0
3,BATH BEACH               ,58  CONDOS - 2-10 UNIT RESIDENTIAL          ,1,6461,231.00,NA,A5,246 BAY 13TH STREET                      ,            ,11214.0,1,0,1,"1,648","1,392",1945,1,A5,"$420,000 ",2/21/13,420000.00,1392.0,1648.0
3,BATH BEACH               ,60  CONDOS - 2-10 UNIT RESIDENTIAL          ,1,6461,268.00,NA,A5,247 BAY 13TH   STREET                    ,            ,11214.0,1,0,1,"1,649","1,392",1940,1,A5,"$520,000 ",12/12/12,520000.00,1392.0,1649.0
